react_name,canonical_smiles,raw_energy,relative_energy,normalize_energy
C78861,C[C@@H]1C[C@@H]2C[CH+]C[C@@H](C2)C1,-390.8159911066994,-10.884082246389932,0.4331175176909961
C14507,C[C+](C)[C@@H]1CCC=C[C@H]1C,-390.815985446285,-10.880530282587603,0.4331638608217352
C7040,C[C+](C)[C@H]1CCC=C[C@@H]1C,-390.8159853558743,-10.880473549009274,0.4331646010352577
C19679,[CH2+]C1=CC[C@@H](CC)[C@H](C)C1,-390.81596991715537,-10.870785606202311,0.4332910014225031
C15337,C[C+]1CC[C@H]2C[C@H](C)[C@H]2C1,-390.8159685875686,-10.869951277866642,0.4333018870590949
C14847,C[C+]1CC[C@@H]2C[C@@H](C)[C@@H]2C1,-390.81596847173887,-10.86987859361638,0.4333028353839934
C101339,C[C@@H]1C[C+]2CCCCC[C@H]21,-390.81596195818304,-10.865791275453276,0.433356163382404
C109898,[CH+]1[C@H]2CCCCC[C@@H]1CC2,-390.8159431825752,-10.854009403173189,0.4335098836559804
C78517,C[CH+]/C=C\[C@H]1CC[C@@H](C)C1,-390.81592965210416,-10.84551890404913,0.4336206607733284
C59242,C[CH+]/C=C\[C@@H]1CC[C@H](C)C1,-390.8159294785309,-10.845409985182467,0.4336220818579899
C107900,C/C=C\C[C+]1CCCCC1,-390.8159292492725,-10.845266123338003,0.4336239588501659
C9745,[CH2+]C1=C[C@H](C)C[C@H](C)CC1,-390.8159049240056,-10.830001787299784,0.43382311547451
C9847,[CH2+]C1=C[C@@H](C)C[C@@H](C)CC1,-390.8159049114621,-10.82999391611959,0.4338232181712584
C5446,C[C+]1CCC=C[C@@H]1C(C)C,-390.8158963199853,-10.824602682817902,0.4338935585924027
C46429,[CH2+]C1=C[C@@H](C)[C@@H](CC)CC1,-390.8158926718927,-10.822313470044763,0.4339234263761807
C70041,CC/C=C1\CC[C+](C)[C@@H]1C,-390.8158885435988,-10.819722926415666,0.4339572256795435
C30447,[CH2+]C1=CC[C@@H](C)[C@H](C)[C@@H]1C,-390.81588850470666,-10.819698521219872,0.433957544098661
C31001,[CH2+]C1=CC[C@H](C)[C@@H](C)[C@H]1C,-390.8158884577357,-10.819669046491503,0.4339579286609106
C5583,C/C=C(/C)[C@@H]1[CH+][C@H](C)CC1,-390.8158838931404,-10.816804719567648,0.4339953000657162
C1200,C[C@H]1[CH+][C@@H]2C[C@H]1C(C)(C)C2,-390.8158755909187,-10.811594996605772,0.4340632722877807
C4025,C[C@@H]1[CH+][C@H]2C[C@@H]1C(C)(C)C2,-390.815874980825,-10.81121215700867,0.4340682672670338
C35796,CC[C+]1CCC=C(C)CC1,-390.8158728263236,-10.809860186893207,0.4340859066719666
C90821,CC[C@H]1C[C@@H]2C[CH+]C[C@H]1C2,-390.8158659461177,-10.805542792336732,0.4341422365197686
C61186,CC(C)[C+]1C[C@H]2CCC[C@@H]12,-390.8158641103215,-10.804390812791514,0.4341572666106263
C61922,CC(C)[C+]1C[C@@H]2CCC[C@H]12,-390.81586348410144,-10.803997853747648,0.434162393620179
C18645,C=C1[CH+]C[C@H](C)C(C)(C)C1,-390.8158617716242,-10.802923258018252,0.4341764140700345
C38547,C[C+]1CCC[C@H]2C[C@@H]1[C@H]2C,-390.8158455745476,-10.792759438576772,0.4343090233080217
C62669,CC[C@]1(C)CC=CC[C+]1C,-390.8158432423545,-10.79129596524736,0.4343281175160747
C5870,C[C+]1CC=C(C(C)C)[C@@H]1C,-390.8158388961685,-10.788568692232737,0.4343637007530984
C43934,C[C+]1CCC[C@@H]2C[C@H]1[C@@H]2C,-390.815838552568,-10.788353079651962,0.4343665138904432
C5871,C[C+]1CC=C(C(C)C)[C@H]1C,-390.81583720609854,-10.787508157283035,0.4343775377493524
C102995,C[C@@H]1[C@H]2C[CH+][C@@H]1CCCC2,-390.81583306582286,-10.784910094962564,0.4344114351504766
C103274,C[C@@H]1[C@H]2[CH+]C[C@@H]1CCCC2,-390.81583303593095,-10.78489133750656,0.4344116798824852
C98561,C[C@@H]1CC[C@H]2CC[CH+]C[C@H]12,-390.8158298458808,-10.782889550722322,0.4344377975660586
C102933,C[C@H]1CC[C@@H]2CC[CH+]C[C@@H]12,-390.8158298454782,-10.782889298108902,0.4344378008619527
C102658,C[C@H]1CCC[C@H]2CC[CH+][C@@H]12,-390.8158261301632,-10.78055790263998,0.434468219011189
C77071,C/C=C1\CC[C+](CCC)C1,-390.8158206263119,-10.777104183663727,0.4345132803234545
C89541,CCC[C+]1CC=C(CC)C1,-390.81581922226655,-10.7762231318686,0.4345247755696906
C15439,C=C(C)C[C@@H]1CCC[C+]1C,-390.8158110424181,-10.77109019924866,0.4345917458939166
C12918,C[C+]1CC[C@H](C)C[C@@H]2C[C@@H]12,-390.81580452197466,-10.766998559049004,0.4346451302827399
C11807,C[C+](C)[C@@]1(C)C=C[C@@H](C)C1,-390.8158028493871,-10.765948994484468,0.4346588241463434
C32738,C[C+](C)[C@]1(C)C=C[C@H](C)C1,-390.8158015583226,-10.7651388392413,0.4346693943921123
C34036,C[C@H]1[CH+][C@H]2[C@H](C)C[C@H]2CC1,-390.8157998990006,-10.7640975988989,0.4346829796480451
